Type,Price ($),Bedrooms,Baths,Subject Line,Description,listed,Status,Realtor,Phone,Lot size (M^2),Built up size (M^2),Link,Latitude,Longitude,Image URL
Buy,"USD 575,000",3,3,Gold Coast - Diamante 99,"Spacious 3-Bedroom Townhouse in Gold Coast Aruba – Start Living the Aruba Lifestyle Welcome to Diamante 99, a beautifully maintained 3-bedroom, 3-bathroom townhouse located in the highly sought-after Gold Coast community of Aruba. Offering 163 m² (1,755 sq.ft.) of indoor living space spread across two levels, this thoughtfully designed home combines modern comfort with effortless Caribbean charm. Step inside and you’ll immediately notice the open-concept layout that creates a seamless flow from the entrance to the backyard. The fully equipped kitchen features a charming breakfast bar that connects effortlessly with the L-shaped living and dining area. Thanks to two large sliding doors, the entire space is bathed in natural light, offering a bright and airy ambiance while maintaining a strong connection to the outdoors. Step outside to your private garden, which is completely paved—a tranquil space partially shaded by a covered porch, ideal for outdoor dining, lounging, or grilling. For added convenience, the ground floor includes a full bathroom and a dedicated laundry area. Upstairs, you’ll find three spacious bedrooms. Two guest bedrooms feature built-in closets and share a modern bathroom—one also has its own balcony. The master suite offers complete privacy with its ensuite bathroom, walk-in closet, and a private balcony. Located within the prestigious Gold Coast gated community, this townhouse enjoys 24/7 security and access to an impressive array of amenities: three swimming pools, clubhouse, restaurant, gym, and tennis courts. Better yet, Gold Coast is situated only minutes away from Aruba’s best beaches and the vibrant Palm Beach strip. Whether you're looking for a full-time residence, vacation home, or investment opportunity, this property checks all the boxes. Don’t miss out — schedule your private (online) tour today! ???? +297-742-0129 ???? lars.niemeijer@kw-aruba.com Key Features","Oct 20, 2025",Available,Keller Williams Aruba,+(297) 280 9898,0 m2 / 0 ft2,"163 m2 / 1,755 ft2",https://arubalistings.com/sale/malmok/condominium-13943-gold-coast-diamante-99,12.599,70.042,https://arubalistings.com/storage/app/uploads/public/68f/59a/5f6/68f59a5f682fb136526738.jpg
Buy,"USD 294,943",4,3,Rudolf Arendsstraat 19,"Rudolfarendsstraat 19 – Prime Investment with Endless Potential Welcome to Rudolfarendsstraat 19, a spacious property located in a central and easily accessible neighborhood, ideal for both homeowners and investors. Sitting on 524 m² of property land with a built-up area of 237 m², this home offers plenty of space and flexibility to create something truly special. The property features 4 bedrooms and 3 bathrooms, providing comfort and functionality for a large family or multi-unit rental setup. The layout allows for creative renovation possibilities—whether you envision a modern family residence, a two-unit rental property, or a stylish Airbnb conversion. While the home does require some updates, its solid structure, generous lot size, and desirable location make it a valuable investment opportunity with strong long-term potential. For more information or to schedule a viewing, contact Erwin or Riecardi","Oct 18, 2025",Available,ID Realty Group Aruba,+297 290 2447,"524 m2 / 5,640 ft2","237 m2 / 2,551 ft2",https://arubalistings.com/sale/oranjestad/residential-13941-rudolf-arendsstraat-19,12.528,70.037,https://arubalistings.com/storage/app/uploads/public/68f/2f8/bdd/68f2f8bdd8419185347484.jpeg
Buy,"USD 450,000",2,1,Koyari 1,"Welcome to Koyari 1, a promising property located in the highly desirable Noord area. Sitting on 746 m² of property land with a built-up area of 248 m², this home offers generous space and strong potential for improvement. The property features 2 bedrooms and 1 bathroom, making it an excellent option for investors looking to expand their portfolio or individuals interested in owning a home in one of Aruba’s most sought-after areas. While the house requires some TLC, its prime location and ample lot size present a valuable investment opportunity with significant potential for future appreciation. Land size: 746 m² (Property Land)
Built-up area: 248 m²
Bedrooms: 2
Bathrooms: 1 For more information or to schedule a viewing, contact:Agbert Croes or Roberto Solognier","Oct 18, 2025",Available,ID Realty Group Aruba,+297 290 2447,"746 m2 / 8,030 ft2","248 m2 / 2,669 ft2",https://arubalistings.com/sale/noord/residential-13940-koyari-1,12.559,70.044,https://arubalistings.com/storage/app/uploads/public/68f/2f8/a9c/68f2f8a9c779a540922181.jpeg
Buy,"USD 675,000",5,4,Wayaca 315,"Wayaca 315 - Spacious Family Home with Apartment & Expansion Potential Welcome to Wayaca 315, a beautiful and well-maintained property located in the peaceful and sought-after Wayaca Residence. Known for its quiet streets and family-friendly atmosphere, this neighborhood offers both comfort and convenience—just minutes from schools, supermarkets, and the airport. Set on 927 m² of property land, this impressive home features a total built-up area of 364 m², providing plenty of space for both living and entertaining. The interior includes two inviting living areas and a large open kitchen with dining space, perfect for gatherings and everyday family life. Upstairs, you’ll find three spacious bedrooms and two bathrooms, including a master suite with a walk-in closet and private bathroom. On the ground floor, a flexible bonus room can serve as an office, guest room, or fourth bedroom, complete with its own bathroom. At the rear of the property sits a separate one-bedroom apartment, ideal for rental income or a private guest retreat. The large backyard includes a spacious gazebo, perfect for entertaining, with ample room to add a pool or additional apartments—giving the property great future potential. This home is move-in ready and ideal for anyone seeking a comfortable family residence, a property with income potential, or a versatile investment opportunity. For more information or to schedule a viewing, contact Brian Howell","Oct 18, 2025",Available,ID Realty Group Aruba,+297 290 2447,"927 m2 / 9,978 ft2","364 m2 / 3,918 ft2",https://arubalistings.com/sale/oranjestad/residential-13939-wayaca-315,12.507,70.006,https://arubalistings.com/storage/app/uploads/public/68f/2f8/958/68f2f8958b8f0255968003.jpg
Buy,"USD 337,078",7,2,Cas di Paloma 43A and B,"A true fixer-upper with great potential — this property offers an excellent investment opportunity with two separate homes and an additional wooden apartment, all situated on 1,300 m² of long lease land. The first home features 4 bedrooms, 1 bathroom, and a spacious living area across 163 m² of built-up space.
The second home offers 3 bedrooms, 1 bathroom, and 127 m² of living area.
In addition, there’s a wooden apartment with 2 bedrooms and 1 bathroom, perfect for generating extra rental income. While the property requires some TLC and updates, its solid structure and layout present a great opportunity for renovation. It’s ideal for those looking to create a family compound, flip for profit, or develop multiple rental units. For more information or to schedule a viewing, contact: Riecardi Irausquin or Erwin Dijkhoff Note: The property is currently occupied by tenants. Viewings must be scheduled and coordinated in advance.","Oct 18, 2025",Available,ID Realty Group Aruba,+297 290 2447,"1300 m2 / 13,993 ft2","290 m2 / 3,122 ft2",https://arubalistings.com/sale/oranjestad/residential-13938-cas-di-paloma-43a-and-b,12.493,70.006,https://arubalistings.com/storage/app/uploads/public/68f/2f8/820/68f2f882044f4266452583.jpg
Buy,"USD 850,000",3,3,Caya Areroet 15,"Beautiful and stylish renovated turnkey home with pool and BBQ spot in the desirable Moko neighborhood in Noord. This home is located on a hill with a great view in one of Aruba’s most desirable neighborhoods Moko with 3 bedrooms and 3 bathrooms (1 bathroom is in the garden with an open air shower and an extra storage room) just 10-15 minutes drive from many beaches and attractions on the North, East and West side of the island. Built on 531m2 lease land with amazing landscaping. The total fully furnished living space is 170m2 with great design, details and style. The front of the house has two designer entrances with beautiful wooden details. The car entrance with a unique wooden electric gate to the driveway (parking space for 4-5 cars) that leads to the amazing garden and the back door. The other entrance comes with a very nice floating staircase to the front door and front porch with a view of the island. Note: rented till April by one person. Viewings can be done in consultation with the tenant. New appraisal report available soon. Contact me for a viewing or more information: +2977485833
fred@remaxaruba.com","Oct 18, 2025",Available,RE/MAX Aruba,+297 586 4900,"531 m2 / 5,716 ft2","170 m2 / 1,830 ft2",https://arubalistings.com/sale/noord/residential-13937-caya-areroet-15,12.549,70.002,https://arubalistings.com/storage/app/uploads/public/68f/2f5/1c1/68f2f51c1fe7a417845253.jpeg
Buy,"USD 548,000",4,2,"Unique Tropical Oasis in Cura Cabai, Savaneta","Welcome to this extraordinary and one-of-a-kind property located in the tranquil neighborhood of Cura Cabai, Savaneta. Offering the perfect combination of comfort, space, and tropical charm, this stunning home invites you to experience island living at its finest. Sitting on a 1,260 m² (13,562 ft²) long lease lot, this residence features 4 spacious bedrooms, 2 full bathrooms, and 244 m² (2,626 ft²) of beautifully designed living space. The open-concept layout seamlessly connects the living room, kitchen, and family area — creating a bright, welcoming atmosphere ideal for both relaxation and entertaining. Step outside and discover your own private retreat. The backyard is a true tropical paradise, featuring: A large swimming pool surrounded by lush greenery A stylish outdoor bar for entertaining guests A grill station and outdoor kitchen perfect for weekend gatherings A refreshing outdoor shower for cooling off under the Aruban sun Ample space for lounging, dining, and enjoying the island breeze Nestled in one of Aruba’s most peaceful and sought-after areas, this home offers the perfect balance of privacy, comfort, and sophistication. Whether you’re looking for a family residence or a relaxing getaway, this property delivers the best of island living.","Oct 17, 2025",Available,Real Estate Aruba,+297 593-8082,"1260 m2 / 13,563 ft2","244 m2 / 2,626 ft2",https://arubalistings.com/sale/savaneta/residential-13936-unique-tropical-oasis-in-cura-cabai-savaneta,12.509,70.009,https://arubalistings.com/storage/app/uploads/public/68f/272/046/68f272046aefe784889625.jpg
Buy,"USD 950,000",4,3,Washington 43,"FOR SALE – TOP LOCATION IN NOORD, JUST MINUTES FROM THE BEST BEACHES IN ARUBA - Washington 43 Asking Price: AWG 1,691,000 - $950,000 Call us for a viewing at +297 744 4898 Main House: 3 Bedrooms 2 Bathrooms Kitchen Living room Dining room Garage Laundry area Full terrace Additional Apartment: 1 Bedroom 1 Bathroom Kitchen Outdoor patio Other Features: Storage room outside Various types of trees and garden lighting Size: Land: 1,665 m² (~17,915 sq ft) – Long Lease Land Built-up area: 408 m² (~4,391 sq ft) This property combines comfort, privacy, and a natural setting while still being minutes from the top beaches in Aruba. For more information or to schedule a viewing, contact us now: Phone: +297 744 4898 Ask for: Chelsea or C-Zar Olarte Email: office@ccrealestatearuba.com","Oct 16, 2025",Available,C&C Real Estate,+297 744 4898,"1665 m2 / 17,922 ft2","408 m2 / 4,392 ft2",https://arubalistings.com/sale/noord/residential-13933-washington-43,12.561,70.041,https://arubalistings.com/storage/app/uploads/public/68f/16b/f60/68f16bf60dda6956033725.png
Buy,"USD 269,663",Not Found,Not Found,Santa Cruz 248,"In the vibrant heart of Santa Cruz lies a property full of opportunity, Santa Cruz 248, a long lease commercial fixer-upper with unbeatable location advantages and plenty of charm. Positioned directly across from the busy Mundo Nobo Supermarket and on the road to the popular Huchada and Urataka Restaurants, this 873 m² parcel of land features a 281 m² built-up area, ready for renovation or a complete redesign. With constant foot traffic, excellent visibility, and easy accessibility, this property is perfect for a retail store, local eatery, office hub, or a multi-purpose commercial space. The property is currently used to sell local snacks, showing its existing connection with the community. Adding to its unique appeal are several mature fruit trees, including mango, mispel, and kenepa, providing natural shade and character to the space. This is more than just a property, it's an investment into a growing, high-demand area. Whether you're an entrepreneur with a vision or an investor seeking location-driven value, Santa Cruz 248 delivers both potential and location. Prime location in central Santa Cruz High pedestrian & vehicle traffic 281 m² built-up structure on 873 m² land Mature fruit trees: Mango, Mispel, Kenepa Currently operating as a local snack shop Great potential for redevelopment Commercial long lease with flexible usage For more information or to schedule a viewing, contact:
???? magali.maris@kw-aruba.com
???? +297 730 0073","Oct 16, 2025",Available,Keller Williams Aruba,+(297) 280 9898,"873 m2 / 9,397 ft2","281 m2 / 3,025 ft2",https://arubalistings.com/sale/santa-cruz/commercial-13931-santa-cruz-248,12.51,69.981,https://arubalistings.com/storage/app/uploads/public/68f/054/6ca/68f0546caa5b2758655125.jpg
Buy,"USD 600,000",2,2,Las Rocas Condo 19-B Tierra del Sol,"Welcome home to Las Rocas 19-B, an exquisite two-floor condominium in the heart of Tierra del Sol, Aruba’s most prestigious gated golf-resort community. Priced at USD $600,000, this stylish residence offers you a rare blend of comfort, sophistication, and island luxury. Spacious 2 Bedrooms / 2 Bathrooms: Two generous bedrooms, each designed with your privacy and comfort in mind. The bathrooms are modern, well-appointed, and maintain spa-like quality touches. Two Levels of Living: A townhouse‐style layout that separates the living spaces—ideal for entertaining and creating distinct zones. Open Plan & Natural Light: Bright common areas with large windows or sliding doors that open up to terraces or balconies, maximizing views, airflow, and that beautiful Aruban sunshine. High-End Finishes: Expect modern kitchen cabinetry, quality countertops, elegant flooring, and thoughtful design details throughout. Spectacular Residence with amazing spa This condo comes with a garage box HOA fees total $727 (Las Rocas 7 $336 + Master Association $391) Tierra del Sol Golf & Resort
Located on approximately 600 acres of pristine landscape, Tierra del Sol is Aruba’s premier master-planned gated community. It features an 18-hole championship golf course by Robert Trent Jones II, world-class resort and country-club amenities, spa & wellness facilities, a fitness center, tennis courts, lush landscaping, and gourmet dining. Las Rocas
A desirable neighborhood within Tierra del Sol. Known for condominiums that combine luxury, privacy, and premium access to resort amenities. Residences in Las Rocas appeal to those seeking elegant, well-designed living spaces with excellent location and views. (Comparable Las Rocas condos show open plans, good light, balconies, and connection to the golf course.) Convenience & Lifestyle
Just minutes away from Palm Beach, Malmok Beach, fine dining, shopping and nightlife, yet tucked away enough to escape the bustle. Your home in Las Rocas gives you access to resort tranquility—with all the essentials close by. Privacy & Comfort: Two floors give separation between entertainment / living areas and private bedrooms. Elevated Quality: All the craftsmanship, finishes, and upgrades needed for modern, stylish living—ready to move in. Resort Living Every Day: Used not just as a residence, but as your own retreat. Swim, golf, relax, dine—all without leaving the community. Investment & Prestige: Properties in Tierra del Sol tend to hold and increase their value due to the high level of amenities, gated setting, and demand for premium real estate on Aruba. Property Video:

Las Rocas 19-N","Oct 16, 2025",Available,Keller Williams Aruba,+(297) 280 9898,"120 m2 / 1,292 ft2",0 m2 / 0 ft2,https://arubalistings.com/sale/malmok/condominium-13930-las-rocas-condo-19-b-tierra-del-sol,12.603,70.04,https://arubalistings.com/storage/app/uploads/public/68f/054/674/68f0546749bd8345064876.jpg
Buy,"USD 829,000",4,3,Safir 26,"4-Bedroom Home with Pool in the Desirable Safir Neighborhood Located in one of Aruba’s most desirable neighborhoods, Safir, this 4-bedroom, 3-bathroom home offers exceptional potential and a fantastic location, just 5 minutes from beautiful Arashi Beach. The property features a refreshing pool, spacious outdoor area with gazebo, and plenty of room for entertaining or relaxing under the island sun. Inside, you’ll find an open-concept living and kitchen area, a bright sunroom, and a convenient separate laundry room. The main house includes 3 bedrooms and 2 bathrooms, with the master bedroom offering an en-suite bath. Additionally, there’s a fourth bedroom with its own private entrance and bathroom, ideal for guests or extended family. An added bonus, the property already has an approved permit for a fifth bedroom, providing great potential for future expansion or customization. Extras include a storage room, hot water system, electrical gate, and ample parking space. This home has great bones and plenty of potential for someone looking to personalize it and make it their own in one of Aruba’s most prestigious neighborhoods. Property Highlights: 4 bedrooms and 3 bathrooms Approved permit for a 5th bedroom with bathroom Open-concept living and kitchen area Bright sunroom filled with natural light Master bedroom with en-suite bathroom Fourth bedroom with separate entrance and private bathroom Separate laundry room Pool with spacious outdoor area and gazebo Storage room Electrical gate and ample parking space Hot water system Located in the prestigious Safir neighborhood, just minutes from Arashi Beach Lot size: 664 m² / 7,147 sq ft Built-up area: 180 m² / 1,938 sq ft For more information or to schedule a viewing, please contact Nadine Weibel phone: +297 699 8081 email: nadine.weibel@kw-aruba.com","Oct 16, 2025",Available,Keller Williams Aruba,+(297) 280 9898,"664 m2 / 7,147 ft2","180 m2 / 1,938 ft2",https://arubalistings.com/sale/malmok/residential-13929-safir-26,12.595,70.036,https://arubalistings.com/storage/app/uploads/public/68f/054/5d6/68f0545d604e0267305541.jpg
